demonicref,demonicsystemid,demonicid,caseref,demonic_type,demonic_text,createdby,createdate,lastupdatedby,lastupdatedon
DP/JO/498,JO,498,C/EGD/2159,Servant,,jhm,2002-05-09T13:04:14,jhm,2002-05-09T13:04:34
DP/JO/499,JO,499,C/EGD/2160,Servant,,jhm,2002-05-09T16:54:37,jhm,2002-05-09T16:54:38
DP/JO/500,JO,500,C/EGD/2160,Want nothing,,jhm,2002-05-09T16:54:43,jhm,2002-05-09T16:54:44
DP/JO/501,JO,501,C/EGD/2168,Devil's Mark,left ear,jhm,2002-05-13T10:32:55,jhm,2002-05-13T10:32:59
DP/JO/502,JO,502,C/EGD/2168,Devil's Mark,neck,jhm,2002-05-13T10:33:01,jhm,2002-05-13T10:33:04
DP/JO/503,JO,503,C/EGD/2163,Tacit pact,,jhm,2002-05-14T16:19:39,jhm,2002-05-14T16:21:39
DP/JO/504,JO,504,C/JO/3033,Paction,,jhm,2002-05-16T11:33:11,jhm,2002-05-16T11:33:36
DP/JO/505,JO,505,C/EGD/2162,Kisses Devil's bottom,,jhm,2002-06-03T15:27:18,jhm,2002-06-03T15:27:21
DP/JO/506,JO,506,C/JO/3033,Servant,,jhm,2002-06-10T17:32:57,jhm,2002-06-10T17:32:58
DP/JO/507,JO,507,C/EGD/2130,Servant,,jhm,2002-06-10T18:12:05,jhm,2002-06-10T18:12:06
DP/JO/508,JO,508,C/EGD/2130,Devil's Mark,on back of right hand,jhm,2002-06-10T18:12:08,jhm,2002-06-10T18:12:19
DP/JO/509,JO,509,C/EGD/2130,Want nothing,,jhm,2002-06-10T18:13:51,jhm,2002-06-10T18:13:51
DP/JO/510,JO,510,C/EGD/2141,Servant,,jhm,2002-06-10T21:46:48,jhm,2002-06-10T21:46:49
DP/JO/511,JO,511,C/EGD/2141,New name,Dame,jhm,2002-06-10T21:46:52,jhm,2002-06-10T21:46:57
DP/JO/512,JO,512,C/EGD/2141,Sex,,jhm,2002-06-10T21:47:02,jhm,2002-06-10T21:47:05
DP/JO/513,JO,513,C/EGD/2141,Want nothing,,jhm,2002-06-10T21:47:21,jhm,2002-06-10T21:47:24
DP/JO/514,JO,514,C/EGD/2141,Devil's Mark,at wrist,jhm,2002-06-10T21:47:45,jhm,2002-06-10T21:48:00
DP/JO/515,JO,515,C/JO/3046,Servant,,jhm,2002-06-17T16:02:48,jhm,2002-06-17T16:02:49
DP/JO/516,JO,516,C/EGD/2327,Body and soul,,jhm,2002-06-19T16:03:37,jhm,2002-06-19T16:03:40
DP/JO/517,JO,517,C/EGD/2327,Servant,,jhm,2002-06-19T16:03:41,jhm,2002-06-19T16:03:42
DP/JO/519,JO,519,C/JO/3059,Servant,,jhm,2002-06-27T14:37:01,jhm,2002-06-27T14:37:03
DP/JO/520,JO,520,C/JO/3059,Devil's Mark,on head,jhm,2002-06-27T14:37:08,jhm,2002-06-27T14:37:12
DP/JO/521,JO,521,C/JO/3059,Devil's Mark,on left middle finger,jhm,2002-06-27T14:37:14,jhm,2002-06-27T14:37:39
DP/JO/522,JO,522,C/JO/3059,Anti-baptism,asked to renounce god,jhm,2002-06-27T14:38:27,jhm,2002-06-27T14:38:44
DP/JO/523,JO,523,C/JO/3069,Anti-baptism,,jhm,2002-07-02T09:28:47,jhm,2002-07-02T09:28:49
DP/JO/524,JO,524,C/JO/3069,Devil's Mark,behind her ear,jhm,2002-07-02T09:28:53,jhm,2002-09-26T12:48:09
DP/JO/525,JO,525,C/JO/3070,Sex,Cold as ice,jhm,2002-07-02T09:38:49,jhm,2002-09-26T12:51:00
DP/JO/526,JO,526,C/JO/3071,Paction,Confessed covenant,jhm,2002-07-02T09:48:36,jhm,2002-09-26T12:57:12
DP/JO/527,JO,527,C/JO/3071,New name,Jonet Quhyt,jhm,2002-07-02T09:49:20,jhm,2002-07-02T09:49:34
DP/JO/528,JO,528,C/JO/3071,Sex,,jhm,2002-07-02T09:49:34,jhm,2002-07-02T09:49:36
DP/JO/530,JO,530,C/JO/3076,Devil's Mark,,jhm,2002-07-02T10:24:11,jhm,2002-07-02T10:24:12
DP/JO/531,JO,531,C/EGD/297,Anti-baptism,,jhm,2002-07-03T16:23:09,jhm,2002-07-03T16:23:10
DP/JO/532,JO,532,C/EGD/297,Devil's Mark,eyebrow,jhm,2002-07-03T16:23:12,jhm,2002-07-03T16:23:15
